item,category,store_code,yearweek,sell_price
ACCESORIES_1_001,ACCESORIES,NYC_1,201328,12.7414
ACCESORIES_1_001,ACCESORIES,NYC_1,201330,10.9858
ACCESORIES_1_001,ACCESORIES,NYC_1,201615,11.1454
ACCESORIES_1_002,ACCESORIES,NYC_1,201125,5.2801
ACCESORIES_1_003,ACCESORIES,NYC_1,201405,3.9501
ACCESORIES_1_004,ACCESORIES,NYC_1,201110,5.7722
ACCESORIES_1_004,ACCESORIES,NYC_1,201308,6.1712
ACCESORIES_1_005,ACCESORIES,NYC_1,201121,3.9634
ACCESORIES_1_005,ACCESORIES,NYC_1,201139,3.2984
ACCESORIES_1_005,ACCESORIES,NYC_1,201247,4.0964
ACCESORIES_1_005,ACCESORIES,NYC_1,201429,3.8304
ACCESORIES_1_006,ACCESORIES,NYC_1,201214,1.33
ACCESORIES_1_006,ACCESORIES,NYC_1,201523,1.2768
ACCESORIES_1_007,ACCESORIES,NYC_1,201228,10.5602
ACCESORIES_1_007,ACCESORIES,NYC_1,201246,10.4804
ACCESORIES_1_008,ACCESORIES,NYC_1,201105,0.6118
ACCESORIES_1_008,ACCESORIES,NYC_1,201108,0.5586
ACCESORIES_1_008,ACCESORIES,NYC_1,201116,0.665
ACCESORIES_1_008,ACCESORIES,NYC_1,201516,0.6384
ACCESORIES_1_009,ACCESORIES,NYC_1,201105,2.0748
ACCESORIES_1_009,ACCESORIES,NYC_1,201112,2.3541
ACCESORIES_1_010,ACCESORIES,NYC_1,201105,4.2161
ACCESORIES_1_010,ACCESORIES,NYC_1,201121,3.9501
ACCESORIES_1_011,ACCESORIES,NYC_1,201217,4.6284
ACCESORIES_1_012,ACCESORIES,NYC_1,201105,7.9534
ACCESORIES_1_012,ACCESORIES,NYC_1,201111,8.3391
ACCESORIES_1_012,ACCESORIES,NYC_1,201203,8.6716
ACCESORIES_1_013,ACCESORIES,NYC_1,201220,2.6201
ACCESORIES_1_014,ACCESORIES,NYC_1,201142,1.3034
ACCESORIES_1_014,ACCESORIES,NYC_1,201539,1.5428
ACCESORIES_1_015,ACCESORIES,NYC_1,201105,0.931
ACCESORIES_1_015,ACCESORIES,NYC_1,201108,0.9576
ACCESORIES_1_015,ACCESORIES,NYC_1,201118,0.9044
ACCESORIES_1_016,ACCESORIES,NYC_1,201105,0.931
ACCESORIES_1_016,ACCESORIES,NYC_1,201108,0.9576
ACCESORIES_1_016,ACCESORIES,NYC_1,201118,0.9044
ACCESORIES_1_017,ACCESORIES,NYC_1,201135,2.5004
ACCESORIES_1_017,ACCESORIES,NYC_1,201306,2.6334
ACCESORIES_1_018,ACCESORIES,NYC_1,201211,15.8004
ACCESORIES_1_019,ACCESORIES,NYC_1,201228,0.665
ACCESORIES_1_019,ACCESORIES,NYC_1,201303,0.6118
ACCESORIES_1_019,ACCESORIES,NYC_1,201516,0.6384
ACCESORIES_1_020,ACCESORIES,NYC_1,201107,14.1911
ACCESORIES_1_020,ACCESORIES,NYC_1,201110,14.6034
ACCESORIES_1_020,ACCESORIES,NYC_1,201225,15.5344
ACCESORIES_1_020,ACCESORIES,NYC_1,201252,16.8644
ACCESORIES_1_021,ACCESORIES,NYC_1,201113,15.6541
ACCESORIES_1_021,ACCESORIES,NYC_1,201118,15.9201
ACCESORIES_1_021,ACCESORIES,NYC_1,201217,15.2551
ACCESORIES_1_021,ACCESORIES,NYC_1,201305,15.8004
ACCESORIES_1_022,ACCESORIES,NYC_1,201105,9.1238
ACCESORIES_1_022,ACCESORIES,NYC_1,201111,9.2834
ACCESORIES_1_022,ACCESORIES,NYC_1,201202,9.5494
ACCESORIES_1_023,ACCESORIES,NYC_1,201105,4.5752
ACCESORIES_1_023,ACCESORIES,NYC_1,201604,3.9501
ACCESORIES_1_024,ACCESORIES,NYC_1,201226,11.9434
ACCESORIES_1_024,ACCESORIES,NYC_1,201523,11.3848
ACCESORIES_1_025,ACCESORIES,NYC_1,201136,4.9742
ACCESORIES_1_025,ACCESORIES,NYC_1,201305,5.2934
ACCESORIES_1_026,ACCESORIES,NYC_1,201403,23.9001
ACCESORIES_1_026,ACCESORIES,NYC_1,201607,17.29
ACCESORIES_1_027,ACCESORIES,NYC_1,201407,26.5734
ACCESORIES_1_027,ACCESORIES,NYC_1,201517,27.6241
